Year,Elevation,SCA,CCA
2001.0,600,0.0,23.816780871227103
2001.0,700,0.0,22.90660194658803
2001.0,800,0.0,22.053540803514547
2001.0,900,0.0,20.894310949067464
2001.0,1000,0.0,19.678344623674956
2001.0,1100,0.0,18.884427155158985
2001.0,1200,0.0,18.22711633166667
2001.0,1300,0.0,17.78285136958836
2001.0,1400,9.62031811185221E-5,17.918699031145344
2001.0,1500,0.004968542085074385,17.864001915663152
2001.0,1600,0.008028452076559656,18.0679433019103
2001.0,1700,0.024177791223890358,18.28850252553402
2001.0,1800,0.07454185666351193,18.38215744102934
2001.0,1900,0.3824265703529588,18.896380866504575
2001.0,2000,0.9154932537514189,18.968360317968425
2001.0,2100,1.5750152718387285,18.98790221319259
2001.0,2200,2.7869855394883203,19.67083853771282
2001.0,2300,5.1674633770239,20.209766346638073
2001.0,2400,6.7355260041281735,20.899003140485455
2001.0,2500,9.054692328065682,20.577099284158994
2001.0,2600,11.834605508459662,20.568927733892913
2001.0,2700,14.146494719873669,21.017725460490663
2001.0,2800,17.179948676486095,21.898110979493136
2001.0,2900,19.407187550136364,22.282941490868748
2001.0,3000,23.093777009507342,22.89789251119477
2001.0,3100,25.15628637951105,22.655768057968963
2001.0,3200,27.27475162726959,22.927298948908675
2001.0,3300,30.933259498242393,22.910019782926334
2001.0,3400,33.23115877271373,22.799358112451653
2001.0,3500,36.3051705170517,22.80151048349218
2001.0,3600,37.903356156695466,23.560994773238466
2001.0,3700,42.80668389955687,24.016744430403282
2001.0,3800,40.697415103902685,23.386428313583348
2001.0,3900,41.27441860465117,22.299960788426652
2001.0,4000,42.273622047244096,21.57006121882614
2002.0,100,0.0,21.40303743977585
2002.0,200,0.0,19.516963899549733
2002.0,300,0.0,17.493804430409853
2002.0,400,0.0,16.371893282559665
2002.0,500,0.0,15.196199701616742
2002.0,600,0.0,14.64880684129421
2002.0,700,0.0,14.063562501591953
2002.0,800,0.0,13.624784440045799
2002.0,900,0.0026971541837745986,12.99588695341516
2002.0,1000,0.008820063204197585,12.411893240844424
2002.0,1100,0.02297962947690415,12.25410168812054
2002.0,1200,0.11967700218616252,12.122164982642115
