group,variable,value
3.0,2600,2.1859507973665955
3.0,2700,2.757896328063961
3.0,2800,3.8776785471178865
3.0,2900,4.92130715748163
3.0,3000,5.685016433925185
3.0,3100,6.247644381770387
3.0,3200,7.141153943422813
3.0,3300,10.678770387274307
3.0,3400,9.74086830417837
3.0,3500,17.80336850649351
3.0,3600,20.069496268656717
3.0,3700,13.4008
3.0,3800,22.49361022364218
3.0,3900,28.634328358208954
4.0,100,0.0
4.0,200,0.0
4.0,300,0.0
4.0,400,0.0
4.0,500,0.0018541409147095368
4.0,600,3.377121981099073E-4
4.0,700,0.0011658456151364292
4.0,800,0.0026229658282026017
4.0,900,0.0010443015371428986
4.0,1000,0.0141806419557291
4.0,1100,0.048495141285644666
4.0,1200,0.1039442550258049
4.0,1300,0.2509179267893885
4.0,1400,0.5240130049154257
4.0,1500,0.5759812164212827
4.0,1600,0.7536488025022771
4.0,1700,1.069883806524354
4.0,1800,1.2681043576817927
4.0,1900,1.6113572718565123
4.0,2000,2.05526232654894
4.0,2100,2.7710051509617153
4.0,2200,3.860420161993584
4.0,2300,4.888295720288616
4.0,2400,6.143780965193749
4.0,2500,8.05971095751363
4.0,2600,9.989205760308284
4.0,2700,11.82032231967146
4.0,2800,14.025522776159157
4.0,2900,16.19813171813681
4.0,3000,18.127828113315815
4.0,3100,20.01854047817445
4.0,3200,21.541132266339083
4.0,3300,24.867105174843918
4.0,3400,25.101423003716114
4.0,3500,32.559862012987026
4.0,3600,33.34141791044777
4.0,3700,28.764000000000003
4.0,3800,37.13019169329074
4.0,3900,41.75159914712154
5.0,100,0.02209783066336286
5.0,200,0.015528788572423138
5.0,300,0.03390711046823877
5.0,400,0.056982776173553094
5.0,500,0.12606633169056036
5.0,600,0.08215293577178912
5.0,700,0.1265757769076966
5.0,800,0.19711839967041245
5.0,900,0.22211111466874217
5.0,1000,0.4450101756331859
5.0,1100,0.6902905282422097
5.0,1200,1.0471535967805057
5.0,1300,1.8577223825115676
5.0,1400,3.1529078582138728
5.0,1500,4.258942705983675
5.0,1600,5.9550224209717735
5.0,1700,8.07524529216104
5.0,1800,10.612009136179301
5.0,1900,14.365234303596921
5.0,2000,18.09562878377839
5.0,2100,23.499520218595322
5.0,2200,27.844571433844703
5.0,2300,35.75923454390155
5.0,2400,42.399339282698875
5.0,2500,49.29011552032478
5.0,2600,55.73419845005782
5.0,2700,58.233761543909665
5.0,2800,60.852553979361204
5.0,2900,62.77316157652274
5.0,3000,64.60080343634233
5.0,3100,66.29051022370355
5.0,3200,67.41002203836842
5.0,3300,69.41338344855353
5.0,3400,71.56548536209549
5.0,3500,76.06067370129871
