Month,Elevation,SCA,CCA
4.0,100,0.0,13.381039248946266
4.0,200,0.0,8.062883091442146
4.0,300,0.0,6.3212168196758505
4.0,400,0.0,5.60417486900245
4.0,500,0.0,5.124144054308611
4.0,600,0.0,4.757182784014972
4.0,700,0.0,4.445217544831536
4.0,800,0.0,4.16286508255815
4.0,900,0.0,3.938222191746484
4.0,1000,0.0,3.777803868187256
4.0,1100,0.0,3.7921649350363964
4.0,1200,1.2526587682355794E-5,3.788590932530151
4.0,1300,5.237063355922744E-4,4.029242484323861
4.0,1400,0.00932945921462643,4.242206331082818
4.0,1500,0.003973821578896912,4.446125190404761
4.0,1600,0.0012268298620890458,4.5646041318690305
4.0,1700,0.0051854225536749395,4.708556814942613
4.0,1800,0.01853047816159753,4.886010525066691
4.0,1900,0.05703538077074835,4.993967063817825
4.0,2000,0.1037418386817941,5.1711199801849075
4.0,2100,0.0381691314309518,5.2643339789523385
4.0,2200,0.07648157778162966,5.3049530405794005
4.0,2300,0.1356957993231135,5.4032339697163
4.0,2400,0.26658161436905964,5.5311101480920595
4.0,2500,0.3529222132236726,5.585935287991648
4.0,2600,0.5755671730931285,5.627499402216297
4.0,2700,0.7386373023609301,5.669712269162495
4.0,2800,0.9198580171775377,5.874165394839579
4.0,2900,1.2811451935829954,6.2135547957648996
4.0,3000,1.4786522752891407,6.4201440415660755
4.0,3100,1.8121612173246195,6.513788342008897
4.0,3200,2.258699397360178,6.859255561491043
4.0,3300,2.6307304212582676,7.0007165011845665
4.0,3400,3.445994465337385,7.532640292876572
4.0,3500,4.198586385455627,7.828892286290612
4.0,3600,5.104049132923866,8.033920299706317
4.0,3700,5.827084881407854,8.186795659571672
4.0,3800,6.621247205593927,8.324035973699964
4.0,3900,7.298330591881046,8.531083226187393
4.0,4000,8.344160837880349,8.64313856377309
4.0,4100,9.415265121399285,9.03233075366988
4.0,4200,10.269543036675275,9.33532584689085
4.0,4300,11.14729264199277,9.568102570038189
4.0,4400,11.410755421399639,9.779890526577205
4.0,4500,12.238636363636365,10.698007890702055
4.0,4600,12.495569188820731,10.580405550462672
4.0,4700,13.723674194366911,11.20130102926208
4.0,4800,14.556261919898288,11.774028688135276
4.0,4900,13.687651331719128,12.335260360134702
4.0,5000,7.0,11.354331441873999
5.0,100,0.0,18.74012879086592
5.0,200,0.0,15.466676235535116
5.0,300,0.0,15.1231395002098
5.0,400,0.0,14.680233790256842
5.0,500,0.0,14.506658354065438
5.0,600,0.0,13.956535713045259
5.0,700,0.0,13.49564027526335
5.0,800,0.0,13.287754952709978
5.0,900,0.0,13.0786915651222
5.0,1000,1.8711579710344798E-4,12.795003904289361
5.0,1100,0.0011662120658920557,12.854705227712602
5.0,1200,0.0015082011569556378,12.978617415964601
5.0,1300,0.014459939601293275,13.454109491104422
5.0,1400,0.03275083728325546,13.867553448341457
5.0,1500,0.0630190586574409,14.538163777267457
5.0,1600,0.14031687535504053,14.981605744952272
5.0,1700,0.3113001427447781,15.469919642835663
5.0,1800,0.5695477729355346,16.14592786475591
5.0,1900,0.9079573852426672,16.817793790334843
5.0,2000,1.495702566500133,17.764167264797194
5.0,2100,1.838991876692351,18.436945874415812
5.0,2200,2.4827654834588326,19.160769597485313
5.0,2300,3.430891233658487,19.95177260387803
5.0,2400,4.63563452358765,21.110610403011474
5.0,2500,5.574677035091695,21.60759114901745
5.0,2600,6.831979317510536,22.110595861091607
5.0,2700,7.561055396765059,23.11251444007356
5.0,2800,8.496480221997103,23.07303435242186
5.0,2900,10.69374772963426,23.651371746639636
5.0,3000,11.475780176340674,23.89999701075041
5.0,3100,12.966792719508556,23.923957362286302
5.0,3200,14.844654336794472,24.80445385720874
5.0,3300,16.23102504283387,25.163641738363427
5.0,3400,19.417304098961594,26.31868616416825
5.0,3500,21.244858533553327,26.94943513665487
5.0,3600,23.02984558462008,27.209413347854717
5.0,3700,24.317727203496553,27.433560194840435
5.0,3800,25.397071519642257,27.801193159485923
5.0,3900,25.93206953898158,28.448159671122845
5.0,4000,26.94459296151159,29.03889033380738
5.0,4100,27.48103072187215,30.50805137162673
5.0,4200,28.278253025165647,31.40109532039447
5.0,4300,27.181167741365616,33.043402042106656
5.0,4400,26.73635713718326,33.59567513710981
5.0,4500,25.572854715378078,36.71315490954377
5.0,4600,23.86707566462168,36.81461871228471
5.0,4700,26.442019791930985,38.37457188226807
5.0,4800,23.025429116338206,40.025269818158385
5.0,4900,21.3728813559322,40.34372291836362
5.0,5000,12.949367088607595,38.11364940014387
6.0,100,0.0,21.16795606303092
6.0,200,0.0,20.228000587036284
6.0,300,0.0,19.24841954544698
6.0,400,0.0,18.26389329613537
6.0,500,0.0,17.52622315536212
6.0,600,0.0,16.73415464501541
6.0,700,0.0013586315772926615,16.062732844005488
6.0,800,0.0030580084199387132,15.824831249360367
6.0,900,0.007511017724124076,15.795804164143549
6.0,1000,0.017850847043668943,15.643566589680406
6.0,1100,0.05584931595111791,16.073868860438775
6.0,1200,0.11163945474269145,16.555705595368888
6.0,1300,0.3531756360523208,17.713297807382933
6.0,1400,0.6404098647190828,18.743414865968795
6.0,1500,1.297688037577015,20.111637745622218
6.0,1600,2.1755225961056386,21.289175611838385
6.0,1700,3.4347986521785354,22.57924964569647
6.0,1800,4.908812147531859,24.015468500050787
6.0,1900,6.636401420491891,25.561542368095893
6.0,2000,9.147297862971364,27.26818549100574
6.0,2100,11.500578583165467,28.445427638741617
6.0,2200,14.405192503996382,29.421303214072484
6.0,2300,18.67547946114532,30.36764096896229
6.0,2400,24.20277805650715,31.838720603549064
6.0,2500,29.022982992742552,32.28469214822059
6.0,2600,35.332408839146076,32.759185592101844
6.0,2700,41.06310406925824,34.217564697401215
6.0,2800,44.81191532103599,33.84997422910905
6.0,2900,51.506880792072344,33.82218187320385
6.0,3000,54.39726069702436,34.09092058720634
6.0,3100,57.782855811085874,33.75176404810709
6.0,3200,62.29056758079304,34.7833926671585
6.0,3300,65.06838887519025,35.15494295345505
6.0,3400,70.46309515362229,36.36474476695853
6.0,3500,72.41387912461713,37.24983525773135
6.0,3600,74.03645802951627,37.294811258824204
6.0,3700,74.90131861335581,37.3474173289216
6.0,3800,75.67527143616735,37.35752481254115
6.0,3900,76.33521751379055,37.66516680577255
6.0,4000,76.43018273702681,37.8526297760375
6.0,4100,76.77554889609162,39.37746433320087
6.0,4200,77.32646903288015,40.01806110992035
6.0,4300,76.17644201042306,41.44578355119055
6.0,4400,75.66661371038208,42.25883134548435
6.0,4500,75.20029736618524,45.464231867561296
6.0,4600,73.09986366734833,45.88623389268841
6.0,4700,76.67850799289519,47.85691610751874
6.0,4800,71.54227590591229,51.55880153257776
6.0,4900,68.1864406779661,55.201742365785954
6.0,5000,52.89873417721518,56.09882382034281
7.0,100,0.0,18.250800126930642
7.0,200,0.0,17.200356557943305
7.0,300,0.0,16.323560866490283
7.0,400,0.0,15.174686011504038
7.0,500,0.0,14.526584342068437
7.0,600,0.0,14.060449298345715
7.0,700,2.0435615460104499E-4,13.550190375437664
7.0,800,0.008419938714844878,13.306366950701838
7.0,900,0.03485487774879781,13.207107349914395
7.0,1000,0.0707908301441582,13.047676714373816
7.0,1100,0.18324563475870373,13.460054019719717
7.0,1200,0.3237296161101941,13.904210882175772
7.0,1300,0.7365129938754591,15.116223885137535
7.0,1400,1.2846161652990666,16.207837206457338
7.0,1500,2.3894301574713834,17.781412419536508
7.0,1600,3.778941489285515,19.063484832326324
7.0,1700,5.669235101620658,20.346049477747886
7.0,1800,7.743192185060643,21.753126457209625
7.0,1900,10.141554649480415,23.25293994055534
7.0,2000,13.572447498464179,24.633750971899588
7.0,2100,16.950681570968932,25.67940028557623
7.0,2200,20.944152333994552,26.296193811998673
7.0,2300,26.967317008427838,26.82742537670388
7.0,2400,34.30342168260192,27.78741668350987
7.0,2500,41.168028243212305,27.80126739001912
7.0,2600,49.97989020608845,27.37903647205295
7.0,2700,58.17014720703145,28.15327612060355
7.0,2800,62.37448395032292,27.209850663014418
7.0,2900,69.36948459530457,25.87837814764783
7.0,3000,71.97772579175721,25.961201066641
7.0,3100,75.4160194868168,25.29901667759174
7.0,3200,79.46954289200067,25.596846638014902
7.0,3300,82.50691981361696,25.810694269188364
7.0,3400,87.33871189006327,25.900604911563995
7.0,3500,89.24725655466048,26.58549225471332
7.0,3600,90.8543720468993,26.745606359368235
7.0,3700,91.7793018779968,27.015714324318534
7.0,3800,92.37613991755401,27.315968651949188
7.0,3900,93.39212461036534,27.5436600560064
7.0,4000,93.45092222995288,28.204310866053582
7.0,4100,93.3953682751306,29.532224227709023
7.0,4200,94.2551093414626,29.968634663467316
7.0,4300,92.0132938786327,31.60601792181536
7.0,4400,91.0377313527683,32.607335967038544
7.0,4500,89.38105352591329,35.5378291232257
7.0,4600,87.808282208589,37.49448184633829
7.0,4700,90.0725704136006,37.86829424776099
7.0,4800,84.62364907819455,43.15051060774424
7.0,4900,79.1501210653753,44.138513301762806
7.0,5000,65.89873417721519,49.4054514566288
8.0,100,0.0,19.808895316560363
8.0,200,0.0,17.799981488570328
8.0,300,0.0,15.26525153681815
8.0,400,0.0,13.287711616564671
8.0,500,0.0,11.825843117430129
8.0,600,0.0,11.055188549100649
8.0,700,0.0,10.333038615038822
8.0,800,0.0,9.990342479964538
8.0,900,0.0,9.87027535195798
8.0,1000,9.848199847549894E-6,9.578407265534516
8.0,1100,0.004609007538497885,9.896031925283339
8.0,1200,0.01764745672690284,10.291060068903066
8.0,1300,0.0836393513567758,11.426829413864672
8.0,1400,0.22762452121681473,12.459415377843442
8.0,1500,0.5648665371107875,13.786952399724496
8.0,1600,1.1105149343860836,14.81132062907843
8.0,1700,1.921126227168103,15.83546986727096
8.0,1800,3.0109942079542544,16.86305255895219
8.0,1900,4.464137840326167,18.01469564355946
8.0,2000,6.788069389552387,18.923357653161865
8.0,2100,9.245770557059823,19.668444638958515
8.0,2200,12.600238824367738,20.192612492322127
8.0,2300,18.072911274802507,20.601249961051277
8.0,2400,25.026476111294258,21.430507561428705
8.0,2500,32.416390813093095,21.451699140493403
8.0,2600,41.661406049300794,21.22658168721493
8.0,2700,51.64315099046685,21.29704045701807
8.0,2800,56.16597008827096,20.877149827524985
8.0,2900,64.19336335143974,20.592652010304427
8.0,3000,67.70330909034733,20.70023531242716
8.0,3100,71.07812770180333,20.558020146089085
8.0,3200,75.87984742956343,20.725163257147297
8.0,3300,79.08163420139205,21.03478877261875
8.0,3400,84.43912580713807,21.44953157642593
8.0,3500,86.63269120123609,21.870456426316117
8.0,3600,88.24247714602338,21.843819237587557
8.0,3700,89.17322434888531,21.958518926513456
8.0,3800,89.69916467985082,22.278742029606665
8.0,3900,90.31834167885924,22.671362509108402
8.0,4000,90.00837392121643,22.955542578633327
8.0,4100,89.65131592359246,24.266038372510014
8.0,4200,90.39459358571561,24.80960669808371
8.0,4300,87.17286458793399,27.057664982670904
