Year,Snowline_elev
2016-01-01,2390.6060606060605
2016-02-01,2611.68
2016-03-01,
2016-04-01,2084.595437964225
2016-05-01,1884.7424205077639
2016-06-01,1539.5633115223395
2016-07-01,896.5983564410121
2016-08-01,1313.756802975428
2016-09-01,1505.5470231576699
2016-10-01,1803.7805978866884
2016-11-01,2135.0828135082816
2016-12-01,2151.979701252903
2017-01-01,
2017-02-01,
2017-03-01,2178.6605587094605
2017-04-01,2245.151953690304
2017-05-01,1538.3115006742444
2017-06-01,970.2134561220291
2017-07-01,1113.9469306369976
2017-08-01,1041.6131349409952
2017-09-01,1103.8375307459569
2017-10-01,1302.583852288867
2017-11-01,1508.2001253473952
2017-12-01,1975.6005849174844
2018-01-01,
2018-02-01,
2018-03-01,2272.791985235961
2018-04-01,1890.6273848611233
2018-05-01,1855.3429492321384
2018-06-01,1173.442301405688
2018-07-01,1367.9677959202131
2018-08-01,1361.9201418251844
2018-09-01,1438.0887309829643
2018-10-01,1420.2490536820374
2018-11-01,1649.3499894877007
2018-12-01,2016.2135278514593
2019-01-01,2320.1277955271566
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,1753.656690746474
2019-06-01,810.5471320511518
2019-07-01,1058.6401090758197
2019-08-01,1118.7363386976103
2019-09-01,1338.4513647970864
2019-10-01,1492.9477136365701
2019-11-01,1764.2486231313924
2019-12-01,2300.0
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,2442.4242424242425
2020-05-01,1951.3103590590185
2020-06-01,713.9076216930822
2020-07-01,674.1327023824374
2020-08-01,1174.3006661385166
2020-09-01,1241.7290956249262
2020-10-01,1267.4518028555294
2020-11-01,1622.8376582499834
2020-12-01,1974.5613203073133
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,2400.0
2021-05-01,1514.6208070004855
2021-06-01,370.79284352011626
2021-07-01,1243.8519834391072
2021-08-01,1323.3493800930535
2021-09-01,1249.4348955454848
2021-10-01,1379.0352820862452
2021-11-01,2174.434214703614
2021-12-01,
2022-01-01,
2022-02-01,2500.0
2022-03-01,
2022-04-01,1688.2488479262674
2022-05-01,1526.1441239425135
2022-06-01,1272.8115205879171
2022-07-01,418.53677183306263
2022-08-01,1141.5029973834994
2022-09-01,1211.9475063732002
2022-10-01,1485.946428192111
2022-11-01,1693.7084242354654
2022-12-01,2500.0
2023-01-01,
2023-02-01,
2023-03-01,
2023-04-01,
2023-05-01,1797.3658150128733
2023-06-01,1385.794367903902
2023-07-01,813.8966524207597
2023-08-01,1229.3316261778812
2023-09-01,1229.2243746970787
2023-10-01,1421.4336766297502
2023-11-01,1519.9874577833525
2023-12-01,1703.9078252520403
2024-01-01,2057.097902097902
2024-02-01,2146.931781250923
2024-03-01,2000.0
2024-04-01,2202.1461240764634
