Year,SCA
2012-05-01,1.87
2012-06-01,5.93
2012-07-01,3.83
2012-08-01,6.03
2012-09-01,1.99
2012-10-01,0.79
2012-11-01,0.03
2012-12-01,0.01
2013-01-01,0.03
2013-02-01,0.01
2013-03-01,0.04
2013-04-01,0.00
2013-05-01,1.85
2013-06-01,6.04
2013-07-01,6.29
2013-08-01,7.25
2013-09-01,2.72
2013-10-01,1.37
2013-11-01,0.25
2013-12-01,0.00
2014-01-01,0.02
2014-02-01,0.02
2014-03-01,0.01
2014-04-01,0.01
2014-05-01,0.59
2014-06-01,10.67
2014-07-01,7.72
2014-08-01,5.15
2014-09-01,3.13
2014-10-01,0.55
2014-11-01,0.02
2014-12-01,0.00
2015-01-01,0.00
2015-02-01,0.01
2015-03-01,0.22
2015-04-01,0.02
2015-05-01,0.05
2015-06-01,0.04
2015-07-01,7.56
2015-08-01,11.39
2015-09-01,6.83
2015-10-01,6.03
2015-11-01,2.69
2015-12-01,0.27
2016-01-01,0.01
2016-02-01,0.00
2016-03-01,0.00
2016-04-01,0.86
2016-05-01,2.73
2016-06-01,11.96
2016-07-01,10.53
2016-08-01,6.87
2016-09-01,4.29
2016-10-01,1.49
2016-11-01,0.34
2016-12-01,0.32
2017-01-01,0.00
2017-02-01,0.07
2017-03-01,0.02
2017-04-01,0.10
2017-05-01,5.59
2017-06-01,8.92
2017-07-01,8.75
2017-08-01,6.50
2017-09-01,3.76
2017-10-01,1.82
2017-11-01,0.04
2017-12-01,0.01
2018-01-01,0.00
2018-02-01,0.05
2018-03-01,0.01
2018-04-01,0.01
2018-05-01,0.04
2018-06-01,9.13
2018-07-01,7.33
2018-08-01,5.18
2018-09-01,2.13
2018-10-01,0.94
2018-11-01,0.07
2018-12-01,0.01
2019-01-01,0.00
2019-02-01,0.01
2019-03-01,0.00
2019-04-01,0.05
2019-05-01,0.16
2019-06-01,4.20
2019-07-01,2.76
2019-08-01,0.09
2019-09-01,0.37
2019-10-01,0.00
2019-11-01,0.00
2019-12-01,0.02
2020-01-01,0.01
2020-02-01,0.00
2020-03-01,0.02
2020-04-01,0.14
2020-05-01,0.07
2020-06-01,3.88
2020-07-01,12.21
2020-08-01,6.95
2020-09-01,3.44
2020-10-01,0.48
2020-11-01,0.02
2020-12-01,0.01
2021-01-01,0.01
2021-02-01,0.02
2021-03-01,0.06
2021-04-01,0.00
2021-05-01,1.12
2021-06-01,1.90
2021-07-01,3.14
2021-08-01,2.53
2021-09-01,2.98
2021-10-01,0.09
2021-11-01,0.00
2021-12-01,0.01
2022-01-01,0.01
2022-02-01,0.01
2022-03-01,0.01
2022-04-01,0.07
2022-05-01,0.04
2022-06-01,3.75
2022-07-01,17.49
2022-08-01,11.30
2022-09-01,5.69
2022-10-01,2.27
2022-11-01,0.10
2022-12-01,0.03
2023-01-01,0.04
2023-02-01,0.01
2023-03-01,0.00
2023-04-01,0.01
2023-05-01,0.12
2023-06-01,0.48
2023-07-01,3.84
2023-08-01,3.42
2023-09-01,4.75
2023-10-01,1.01
2023-11-01,0.55
2023-12-01,0.00
