Year,SCA
2009-08-01,7.18
2009-09-01,4.16
2009-10-01,1.93
2009-11-01,1.98
2009-12-01,1.58
2010-01-01,0.77
2010-02-01,0.30
2010-03-01,0.20
2010-04-01,0.65
2010-05-01,2.45
2010-06-01,8.22
2010-07-01,12.33
2010-08-01,9.47
2010-09-01,6.31
2010-10-01,2.90
2010-11-01,1.64
2010-12-01,1.69
2011-01-01,0.61
2011-02-01,0.21
2011-03-01,0.37
2011-04-01,1.01
2011-05-01,2.37
2011-06-01,6.82
2011-07-01,11.19
2011-08-01,9.63
2011-09-01,5.13
2011-10-01,1.95
2011-11-01,0.59
2011-12-01,0.27
2012-01-01,0.15
2012-02-01,0.14
2012-03-01,0.12
2012-04-01,0.33
2012-05-01,3.24
2012-06-01,7.55
2012-07-01,10.18
2012-08-01,5.79
2012-09-01,3.87
2012-10-01,2.16
2012-11-01,1.48
2012-12-01,0.92
2013-01-01,0.25
2013-02-01,0.18
2013-03-01,0.20
2013-04-01,0.48
2013-05-01,3.52
2013-06-01,7.46
2013-07-01,8.14
2013-08-01,7.96
2013-09-01,4.42
2013-10-01,2.22
2013-11-01,1.50
2013-12-01,0.54
2014-01-01,0.25
2014-02-01,0.13
2014-03-01,0.17
2014-04-01,1.09
2014-05-01,1.92
2014-06-01,10.69
2014-07-01,7.97
2014-08-01,5.93
2014-09-01,4.06
2014-10-01,2.51
2014-11-01,1.50
2014-12-01,1.02
2015-01-01,0.32
2015-02-01,0.14
2015-03-01,0.10
2015-04-01,0.29
2015-05-01,2.97
2015-06-01,9.65
2015-07-01,10.42
2015-08-01,8.54
2015-09-01,5.82
2015-10-01,3.02
2015-11-01,1.92
2015-12-01,0.89
2016-01-01,0.21
2016-02-01,0.13
2016-03-01,0.15
2016-04-01,0.65
2016-05-01,0.72
2016-06-01,4.08
2016-07-01,7.23
2016-08-01,7.04
2016-09-01,4.47
2016-10-01,1.76
2016-11-01,1.05
2016-12-01,0.30
2017-01-01,0.14
2017-02-01,0.09
2017-03-01,0.21
2017-04-01,0.34
2017-05-01,6.08
2017-06-01,12.52
2017-07-01,10.58
2017-08-01,6.71
2017-09-01,6.47
2017-10-01,2.13
2017-11-01,2.25
2017-12-01,1.65
2018-01-01,0.59
2018-02-01,0.19
2018-03-01,0.30
2018-04-01,1.00
2018-05-01,2.92
2018-06-01,10.38
2018-07-01,9.33
2018-08-01,4.59
2018-09-01,3.84
2018-10-01,2.52
2018-11-01,1.74
2018-12-01,1.05
2019-01-01,0.40
2019-02-01,0.14
2019-03-01,0.15
2019-04-01,0.33
2019-05-01,3.54
2019-06-01,10.67
2019-07-01,12.69
2019-08-01,7.99
2019-09-01,4.71
2019-10-01,2.78
2019-11-01,2.15
2019-12-01,1.18
2020-01-01,0.38
2020-02-01,0.20
2020-03-01,0.13
2020-04-01,0.48
2020-05-01,2.56
2020-06-01,9.30
2020-07-01,17.23
2020-08-01,7.73
2020-09-01,6.57
2020-10-01,1.72
2020-11-01,1.76
2020-12-01,1.69
2021-01-01,0.91
2021-02-01,0.23
2021-03-01,0.14
2021-04-01,0.27
2021-05-01,1.69
2021-06-01,8.43
2021-07-01,7.70
2021-08-01,5.35
2021-09-01,4.04
2021-10-01,2.37
2021-11-01,1.64
2021-12-01,0.48
2022-01-01,0.22
2022-02-01,0.12
2022-03-01,0.38
2022-04-01,1.69
2022-05-01,5.73
2022-06-01,10.18
2022-07-01,15.13
2022-08-01,7.83
2022-09-01,5.77
2022-10-01,2.94
2022-11-01,1.83
2022-12-01,0.62
2023-01-01,0.16
2023-02-01,0.11
2023-03-01,0.14
2023-04-01,0.38
2023-05-01,4.81
2023-06-01,11.60
2023-07-01,15.88
2023-08-01,8.36
2023-09-01,5.51
2023-10-01,2.98
2023-11-01,2.16
2023-12-01,1.66
