Year,SCA,CCA
2014-03-01,0.00,0.64
2014-04-01,0.02,0.25
2014-05-01,0.61,10.25
2014-06-01,11.66,17.25
2014-07-01,9.16,19.98
2014-08-01,5.70,11.09
2014-09-01,2.78,21.85
2014-10-01,0.30,7.03
2014-11-01,0.01,0.08
2014-12-01,0.00,0.01
2015-01-01,0.01,0.62
2015-02-01,0.03,0.03
2015-03-01,0.05,5.88
2015-04-01,0.00,0.04
2015-05-01,0.06,1.14
2015-06-01,0.04,3.96
2015-07-01,8.64,26.09
2015-08-01,16.09,37.54
2015-09-01,9.22,17.47
2015-10-01,8.28,28.85
2015-11-01,2.43,4.67
2015-12-01,0.12,0.74
2016-01-01,0.02,17.89
2016-02-01,0.02,1.67
2016-03-01,0.00,3.19
2016-04-01,0.64,35.58
2016-05-01,2.40,49.64
2016-06-01,16.36,17.69
2016-07-01,13.82,35.08
2016-08-01,9.10,1.49
2016-09-01,5.30,3.50
2016-10-01,1.36,15.75
2016-11-01,0.10,0.00
2016-12-01,0.18,0.23
2017-01-01,0.01,0.00
2017-02-01,0.04,0.00
2017-03-01,0.02,0.50
2017-04-01,0.02,1.29
2017-05-01,6.18,37.69
2017-06-01,13.11,35.93
2017-07-01,11.54,9.53
2017-08-01,9.08,8.70
2017-09-01,5.52,16.36
2017-10-01,1.85,2.12
2017-11-01,0.02,6.29
2017-12-01,0.01,0.07
2018-01-01,0.01,3.95
2018-02-01,0.03,0.00
2018-03-01,0.00,0.04
2018-04-01,0.01,0.60
2018-05-01,0.04,18.64
2018-06-01,11.11,16.56
2018-07-01,10.26,18.36
2018-08-01,7.07,4.46
2018-09-01,2.39,30.51
2018-10-01,0.56,11.67
2018-11-01,0.03,0.35
2018-12-01,0.01,0.15
2019-01-01,0.00,0.00
2019-02-01,0.01,0.04
2019-03-01,0.00,0.06
2019-04-01,0.01,1.30
2019-05-01,0.08,7.31
2019-06-01,4.22,23.10
2019-07-01,2.68,16.41
2019-08-01,0.33,8.94
2019-09-01,0.36,10.52
2019-10-01,0.00,8.31
2019-11-01,0.00,0.02
2019-12-01,0.01,0.00
2020-01-01,0.02,0.00
2020-02-01,0.00,0.00
2020-03-01,0.00,1.65
2020-04-01,0.15,11.21
2020-05-01,0.01,11.54
2020-06-01,3.37,37.54
2020-07-01,14.71,18.33
2020-08-01,8.26,0.82
2020-09-01,4.09,4.52
2020-10-01,0.28,0.17
2020-11-01,0.00,1.12
2020-12-01,0.01,0.00
2021-01-01,0.02,1.51
2021-02-01,0.02,0.37
2021-03-01,0.03,0.43
2021-04-01,0.00,1.03
2021-05-01,1.16,3.38
2021-06-01,1.06,5.47
2021-07-01,2.06,3.91
2021-08-01,2.31,9.54
2021-09-01,3.15,3.79
2021-10-01,0.05,0.01
2021-11-01,0.00,0.01
2021-12-01,0.00,0.60
2022-01-01,0.01,0.00
2022-02-01,0.01,0.00
2022-03-01,0.01,0.00
2022-04-01,0.05,0.73
2022-05-01,0.06,11.12
2022-06-01,5.42,37.12
2022-07-01,21.97,14.91
2022-08-01,15.59,6.05
2022-09-01,7.98,7.73
2022-10-01,2.66,1.04
2022-11-01,0.03,4.64
2022-12-01,0.01,0.00
2023-01-01,0.03,0.86
2023-02-01,0.03,0.00
2023-03-01,0.01,0.00
2023-04-01,0.01,0.24
2023-05-01,0.10,14.66
2023-06-01,0.30,21.07
2023-07-01,3.14,19.40
2023-08-01,2.45,25.93
2023-09-01,3.51,34.82
2023-10-01,0.36,8.48
2023-11-01,0.23,3.46
2023-12-01,0.00,2.39
2024-01-01,0.00,0.00
2024-02-01,0.01,0.01
2024-03-01,0.00,0.01
2024-04-01,0.40,4.86
