date,value
2017-08-01,1955.4881587059801
2017-09-01,2329.2736856211195
2017-10-01,2432.481008411416
2017-11-01,3362.9605401350336
2017-12-01,3550.765746440652
2018-01-01,3759.051974279811
2018-02-01,4232.764309281308
2018-03-01,3801.5651870498223
2018-04-01,4159.111521666106
2018-05-01,3337.455164585698
2018-06-01,1857.3536774347376
2018-07-01,1972.5535413491618
2018-08-01,1971.6295142606832
2018-09-01,2415.2370070404786
2018-10-01,2710.230628652431
2018-11-01,3194.8204146730463
2018-12-01,3559.0738050526165
2019-01-01,3761.534992415235
2019-02-01,4530.191294704741
2019-03-01,3864.7053795304305
2019-04-01,3756.30330388014
2019-05-01,3443.3535725902634
2019-06-01,2040.1657309626232
2019-07-01,2167.688294750571
2019-08-01,2927.031829787234
2019-09-01,2758.5782845283907
2019-10-01,3438.6044791452637
2019-11-01,3632.781033964534
2019-12-01,4432.83950617284
2020-01-01,4400.022341376228
2020-02-01,4593.235133660665
2020-03-01,3835.8174904942975
2020-04-01,3404.868560248434
2020-05-01,3273.3922028804427
2020-06-01,1812.189630449549
2020-07-01,1758.5160931611783
2020-08-01,2056.1554572957875
2020-09-01,2328.5260153107565
2020-10-01,2861.099763317446
2020-11-01,3415.688145381501
2020-12-01,3678.4843844706033
2021-01-01,4501.881894873459
2021-02-01,3286.1250296084395
2021-03-01,3718.078070948925
2021-04-01,3859.40705617239
2021-05-01,2494.1285807269824
2021-06-01,2088.4701500345273
2021-07-01,2324.5444319460066
2021-08-01,2293.4867474830494
2021-09-01,2306.9288951586277
2021-10-01,3070.9310986021105
2021-11-01,3572.5345049232205
2021-12-01,4525.535880708295
2022-01-01,4544.605967865341
2022-02-01,4497.2483537159005
2022-03-01,4516.846846846847
2022-04-01,2969.234026601506
2022-05-01,3096.0086884341436
2022-06-01,2263.848702470164
2022-07-01,1422.3020009007264
2022-08-01,1824.2203565058335
2022-09-01,2204.136337880835
2022-10-01,2607.551530085578
2022-11-01,3401.6891531794336
2022-12-01,3695.915238575269
2023-01-01,3747.534950568355
2023-02-01,3816.8750396649107
2023-03-01,3812.2625051543127
2023-04-01,3850.7924528301887
2023-05-01,3405.4751614991947
2023-06-01,2784.2399768789846
2023-07-01,2202.073758209045
2023-08-01,2351.1556869475803
